Modelo,Color,Site,Attacked,Predator,Certainty
384,Yellow,Los Catios,No,None,NA
385,Yellow,Los Catios,No,None,NA
386,Yellow,Los Catios,No,None,NA
387,Yellow,Los Catios,No,None,NA
388,Yellow,Los Catios,No,None,NA
389,Yellow,Los Catios,No,None,NA
390,Yellow,Los Catios,No,None,NA
391,Yellow,Los Catios,No,None,NA
392,Yellow,Los Catios,No,None,NA
393,Yellow,Los Catios,No,None,NA
394,Yellow,Los Catios,No,None,NA
395,Yellow,Los Catios,No,None,NA
396,Yellow,Los Catios,No,None,NA
397,Yellow,Los Catios,No,None,NA
398,Yellow,Los Catios,No,None,NA
399,Yellow,Los Catios,No,None,NA
400,Yellow,Los Catios,No,None,NA
401,Yellow,Los Catios,No,None,NA
402,Yellow,Los Catios,No,None,NA
403,Yellow,Los Catios,No,None,NA
404,Yellow,Los Catios,No,None,NA
405,Yellow,Los Catios,No,None,NA
406,Yellow,Los Catios,No,None,NA
407,Yellow,Los Catios,No,None,NA
408,Yellow,Los Catios,No,None,NA
409,Yellow,Los Catios,No,None,NA
410,Yellow,Los Catios,No,None,NA
411,Yellow,Los Catios,No,None,NA
412,Yellow,Los Catios,No,None,NA
413,Yellow,Los Catios,No,None,NA
414,Yellow,Los Catios,No,None,NA
415,Yellow,Los Catios,No,None,NA
416,Yellow,Los Catios,No,None,NA
417,Yellow,Los Catios,No,None,NA
418,Yellow,Los Catios,No,None,NA
419,Yellow,Los Catios,No,None,NA
420,Yellow,Los Catios,No,None,NA
421,Yellow,Los Catios,No,None,NA
422,Yellow,Los Catios,No,None,NA
423,Yellow,Los Catios,No,None,NA
424,Yellow,Los Catios,No,None,NA
425,Yellow,Los Catios,No,None,NA
426,Yellow,Los Catios,No,None,NA
427,Yellow,Los Catios,No,None,NA
428,Yellow,Los Catios,No,None,NA
429,Yellow,Los Catios,No,None,NA
430,Yellow,Los Catios,No,None,NA
431,Yellow,Los Catios,No,None,NA
432,Yellow,Los Catios,No,None,NA
